ID,name,handedness,height,weight,avg,HR
346,Gary Woods,Right,74,185,0.243,13
347,Bob Montgomery,Right,73,195,0.258,23
348,Jeff Burroughs,Right,73,200,0.261,240
349,Rusty Staub,Left,74,190,0.279,292
350,Jim Norris,Left,70,175,0.264,7
351,Oscar Gamble,Left,71,160,0.265,200
353,George Vukovich,Left,72,198,0.268,27
355,Craig Reynolds,Left,73,175,0.256,42
356,Paul Blair,Right,72,168,0.25,134
357,Al Cowens,Right,73,197,0.27,108
358,Al Oliver,Left,72,195,0.303,219
359,Dave Hilton,Right,71,191,0.213,6
360,Luis Alvarado,Right,69,162,0.214,5
361,Larry Parrish,Right,75,190,0.263,256
362,Woodie Fryman,Right,75,197,0.138,2
363,Bob Randall,Right,74,175,0.257,1
364,Jim Pankovits,Right,70,170,0.25,9
366,Carmen Fanzone,Right,72,200,0.224,20
367,Gary Allenson,Right,71,185,0.221,19
368,Milt May,Left,72,190,0.263,77
369,Mike Vail,Right,73,180,0.279,34
370,Nick Esasky,Right,75,200,0.25,122
371,Jim Nettles,Left,72,186,0.22,16
373,Chris Cannizzaro,Right,72,190,0.235,18
374,Larry Biittner,Left,74,205,0.273,29
376,Mel Stottlemyre,Right,73,178,0.16,7
379,Roy Smalley,Both,73,185,0.257,163
381,Andy Messersmith,Right,73,200,0.17,5
382,Richie Zisk,Right,73,200,0.287,207
383,Dave Chalk,Right,70,175,0.252,15
384,Don Baylor,Right,73,190,0.26,338
385,John Vukovich,Right,73,187,0.161,6
386,Danny Thompson,Right,72,183,0.248,15
387,Joe Simpson,Left,75,175,0.242,9
388,Bill Fahey,Left,72,200,0.241,7
389,Doug Camilli,Right,71,195,0.199,18
390,Bernie Allen,Left,72,175,0.239,73
391,Bruce Bochy,Right,75,205,0.239,26
393,Claudell Washington,Left,72,190,0.278,164
394,John Donaldson,Left,71,160,0.238,4
396,John Mayberry,Left,75,215,0.253,255
397,Ken Reitz,Right,72,180,0.26,68
398,Amos Otis,Right,71,165,0.277,193
399,Gene Alley,Right,70,160,0.254,55
400,Ted Sizemore,Right,70,165,0.262,23
401,Dan Briggs,Left,72,180,0.195,12
403,Doug Flynn,Right,71,165,0.238,7
405,Ken Holtzman,Right,74,175,0.163,2
406,Pete Ward,Left,73,185,0.254,98
407,Kevin Bell,Right,72,195,0.222,13
408,Tom Nieto,Right,73,193,0.205,5
409,Duke Sims,Left,74,197,0.239,100
410,Larvell Blanks,Right,68,167,0.253,20
412,Mike Davis,Left,74,175,0.259,91
413,Jerry Reuss,Left,77,200,0.167,1
414,Steve Yeager,Right,72,190,0.228,102
415,Danny Goodwin,Left,73,195,0.236,13
416,Bud Harrelson,Both,71,160,0.236,7
417,Bob Knepper,Left,75,195,0.137,6
418,Mickey Rivers,Left,70,165,0.295,61
419,Jim Northrup,Left,75,190,0.267,153
420,John Hale,Left,74,195,0.201,14
422,Pedro Garcia,Right,70,175,0.22,37
423,Carl Yastrzemski,Left,71,175,0.285,452
426,Derrel Thomas,Both,72,160,0.249,43
427,Art Howe,Right,74,190,0.26,43
428,Ike Brown,Right,72,190,0.256,20
429,Howie Goss,Right,76,204,0.216,11
430,Glenn Borgmann,Right,76,210,0.229,16
431,Lamar Johnson,Right,74,215,0.287,64
